,가스,견해,경고,경북,고의,공구,과태료,관계,근무,기계,김천,내용,당일,도구,목적,미만,믹_,발화,배관,베스티,보고,보험,부과,부산,부위,분경,불꽃,사유,사이,산소,산업재,산재,상기,상태,생각,서기,서울,성심,소속,소재,스파크,연결,연기,옷_,요양,용접,응급실,응급처치,의거,의료,이내,작업복,장소,전문,전신,제거,제출,조사,조사표,조치,종결,준비,중구,지침,지하,진단,진압,진화,찌꺼기,차량,처리,처분,초기,최근,추정,출근,치료,탱크,통원,판단,페인트,폭발,한강,현장,호스,호흡,화상,회사,후송
김천,2,1,1,4,1,1,0,0,0,0,4,1,0,1,1,1,2,1,4,0,1,0,0,0,0,1,0,2,0,0,1,1,0,1,1,2,0,0,0,6,2,3,2,0,1,1,0,1,2,2,1,0,1,2,0,3,0,1,1,1,1,1,1,0,2,0,0,0,2,0,1,1,0,1,0,0,6,2,0,1,1,0,0,1,2,0,6,0,0
내용,2,11,5,0,3,1,4,3,2,1,1,15,0,11,11,3,1,0,0,0,13,5,3,2,2,2,3,22,4,1,9,6,1,7,2,1,1,2,2,3,1,1,0,1,6,4,2,0,4,3,3,1,11,0,0,0,3,14,4,6,3,0,1,3,0,3,3,1,0,0,9,3,0,3,0,0,13,0,2,5,2,0,0,5,2,0,22,2,0
당일,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,5,0,1,0,0,0,0,0,1,1,2,3,2
도구,2,11,5,0,3,1,4,1,0,1,1,11,0,11,11,3,1,0,0,0,13,5,3,2,2,0,3,22,2,1,9,6,1,5,2,1,1,0,2,3,1,1,0,1,6,4,0,0,4,3,3,1,11,0,0,0,3,14,4,4,3,0,1,3,0,3,1,1,0,0,9,3,0,3,0,0,9,0,2,5,2,0,0,5,2,0,18,2,0
목적,2,11,5,0,3,1,4,1,0,1,1,11,0,11,11,3,1,0,0,0,13,5,3,2,2,0,3,22,2,1,9,6,1,5,2,1,1,0,2,3,1,1,0,1,6,4,0,0,4,3,3,1,11,0,0,0,3,14,4,4,3,0,1,3,0,3,1,1,0,0,9,3,0,3,0,0,9,0,2,5,2,0,0,5,2,0,18,2,0
미만,2,3,3,0,3,0,0,1,0,0,1,3,0,3,3,3,0,0,0,0,3,1,0,0,0,0,0,6,0,0,2,3,0,1,1,0,0,0,0,1,0,1,0,0,2,0,0,0,3,1,1,0,3,0,0,0,0,3,2,2,3,0,0,0,0,0,0,1,0,0,4,2,0,2,0,0,1,0,0,2,0,0,0,1,2,0,3,0,0
믹_,0,1,0,4,0,1,0,0,0,0,2,1,0,1,1,0,3,0,3,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3,0,0,0,5,3,2,2,0,0,0,0,0,0,2,0,0,1,1,0,2,0,2,0,1,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,5,2,0,0,1,0,0,0,0,0,3,0,0
발화,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,8,3,0,0,0,0,0,2,2,2,0,0,0,0,0,2,0,0,0,0,1,0,4,0,0,1,0,0,1,0,2,0,1,0,5,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,9,0,1,0,2,0,1,1,0,1,8,1,1
배관,2,0,0,8,0,3,0,0,0,0,4,0,0,0,0,0,3,3,14,0,0,0,0,0,0,1,4,0,0,4,0,0,0,0,0,3,0,2,2,8,3,5,3,0,0,1,0,3,0,5,0,2,0,3,0,4,0,0,0,0,0,1,2,0,3,0,0,0,3,2,0,0,0,0,0,0,15,3,2,0,2,0,2,1,0,0,11,0,2
베스티,1,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,6,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,2,0,1,0,0,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,2,0,0,1,11,0,3,0,1,1,0,0,0,0,8,3,2
보고,2,13,5,0,3,1,6,1,0,1,1,13,0,13,13,3,1,0,0,0,17,7,4,4,2,0,4,26,2,1,13,7,1,5,2,1,1,0,3,4,1,1,0,1,9,4,0,0,5,3,4,1,13,0,0,0,5,17,5,4,3,0,1,4,0,3,1,1,0,0,11,4,0,3,0,0,9,0,2,5,4,0,0,5,2,0,20,2,0
보험,0,5,1,0,1,0,4,0,0,0,0,5,0,5,5,1,0,0,0,0,7,9,2,2,0,0,0,10,2,0,9,2,0,8,0,0,2,0,2,2,0,0,0,0,4,0,0,0,0,5,0,0,5,0,0,0,4,7,3,0,1,0,2,2,0,0,2,0,0,0,9,2,0,0,0,0,1,0,0,4,4,0,0,0,0,0,9,0,0
부과,0,3,0,0,0,0,3,0,0,0,0,3,0,3,3,0,0,0,0,0,4,2,3,1,0,0,1,6,1,0,2,2,0,4,0,0,1,0,2,0,0,0,0,0,1,3,0,0,1,2,1,0,3,0,0,0,2,5,2,0,0,0,1,2,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,7,1,0
부산,0,2,0,0,0,0,2,0,2,1,0,2,0,2,2,0,0,0,0,1,4,2,1,4,0,1,1,4,0,0,4,1,1,0,0,0,0,0,1,3,0,0,0,0,3,0,0,0,1,0,1,0,2,0,0,1,2,3,1,0,0,1,0,1,1,0,1,0,0,1,2,1,0,0,0,1,4,0,1,0,2,1,0,0,0,0,4,1,0
부위,0,2,2,0,0,0,0,0,0,0,0,2,0,2,2,0,0,2,0,0,2,0,0,0,6,0,5,4,0,2,2,2,1,0,0,0,1,1,0,4,0,1,0,2,0,2,0,0,0,0,2,4,2,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,1,0,14,0,2,0,2,1,0,0,0,0,9,0,2
분경,0,0,0,2,0,1,0,2,3,1,1,2,0,0,0,0,1,2,1,2,0,0,0,1,0,10,1,0,1,0,0,0,1,1,1,1,0,3,0,3,1,1,3,0,0,3,5,2,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,2,3,1,1,0,0,0,0,2,2,16,1,2,0,1,1,1,0,1,2,12,4,1
불꽃,0,3,2,0,0,2,1,0,0,0,0,3,0,3,3,0,0,2,4,0,4,0,1,1,5,1,11,6,0,2,3,3,1,0,1,0,1,1,1,2,0,1,0,2,1,4,1,3,1,2,3,4,3,0,0,0,1,4,1,0,0,0,0,1,0,4,0,1,0,2,1,0,0,2,0,0,18,0,4,0,1,1,0,0,0,0,13,0,2
사유,4,22,10,0,6,2,8,2,0,2,2,22,0,22,22,6,2,0,0,0,26,10,6,4,4,0,6,44,4,2,18,12,2,10,4,2,2,0,4,6,2,2,0,2,12,8,0,0,8,6,6,2,22,0,0,0,6,28,8,8,6,0,2,6,0,6,2,2,0,0,18,6,0,6,0,0,18,0,4,10,4,0,0,10,4,0,36,4,0
사이,0,2,1,0,0,0,1,1,1,1,0,4,0,2,2,0,0,0,0,0,2,2,1,0,0,1,0,4,5,0,1,1,0,5,1,0,4,2,1,1,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,1,3,1,2,0,0,1,2,0,0,2,1,0,0,3,0,0,0,0,0,7,1,0,2,0,0,1,1,0,0,7,1,0
산소,2,1,1,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,4,0,1,0,0,0,2,0,2,2,0,6,1,1,0,0,0,0,0,2,2,1,0,2,0,1,0,2,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,9,0,2,0,0,0,2,0,0,0,6,0,2
산업재,2,9,3,0,2,1,5,0,0,0,1,9,0,9,9,2,0,0,0,0,13,9,2,4,2,0,3,18,1,1,15,4,1,5,1,0,1,0,2,5,0,1,0,1,9,1,0,0,3,3,3,1,9,0,0,0,5,11,4,1,2,0,1,2,0,3,1,0,0,0,9,4,0,2,0,0,8,0,2,4,6,0,0,2,2,0,15,0,0
산재,2,6,4,0,3,0,2,2,0,0,1,6,0,6,6,3,0,0,0,0,7,2,2,1,2,0,3,12,1,1,4,8,0,5,1,0,1,0,2,2,0,1,0,1,4,1,0,0,5,2,3,1,6,0,0,0,2,8,3,3,3,0,1,2,0,2,1,2,0,0,9,3,0,4,0,0,5,0,1,5,0,0,0,2,2,0,10,0,0
상기,0,1,0,0,0,1,0,0,2,1,0,1,2,1,1,0,0,2,0,1,1,0,0,1,1,1,1,2,0,0,1,0,7,0,1,0,0,0,0,4,0,0,0,0,1,2,2,1,1,0,0,2,1,0,0,1,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,3,0,1,0,13,0,2,1,1,1,0,2,1,1,12,2,1
상태,2,5,1,0,1,0,4,1,1,0,1,7,0,5,5,1,0,0,0,0,5,8,4,0,0,1,0,10,5,0,5,5,0,18,1,0,4,1,4,1,0,1,0,0,1,0,1,0,2,8,1,0,5,0,0,0,4,9,5,2,1,0,4,4,0,0,5,0,0,0,13,1,0,1,0,0,2,0,0,9,0,0,0,0,2,0,15,0,0
생각,2,2,2,0,1,0,0,0,0,1,1,2,0,2,2,1,0,0,0,0,2,0,0,0,0,1,1,4,1,0,1,1,1,1,3,0,0,0,0,1,0,1,0,0,1,2,1,1,2,0,1,0,2,0,0,0,0,2,1,2,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,3,0,0,1,0,0,0,1,2,0,5,1,0
서기,0,1,0,4,0,1,0,0,0,0,2,1,0,1,1,0,3,0,3,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3,0,0,0,5,3,2,2,0,0,0,0,0,0,2,0,0,1,1,0,2,0,2,0,1,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,5,2,0,0,1,0,0,0,0,0,3,0,0
서울,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,2,1,0,1,0,1,2,4,0,1,1,0,4,0,0,8,3,1,1,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,2,1,0,0,0,1,1,0,0,1,2,0,0,3,0,0,0,0,0,10,2,0,2,1,1,2,0,0,0,6,1,2
성심,1,0,0,1,0,0,0,2,2,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,1,3,1,0,2,2,0,0,0,1,0,0,3,6,1,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,10,1,0,0,1,1,3,0,1,0,6,2,4
소속,1,2,0,1,0,0,2,0,0,0,0,2,0,2,2,0,0,0,2,0,3,2,2,1,0,0,1,4,1,2,2,2,0,4,0,0,1,1,3,0,0,1,0,0,1,0,0,0,1,2,1,0,2,0,0,0,2,4,2,0,0,0,1,2,0,0,1,0,0,0,4,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,5,0,1
소재,2,3,2,10,1,2,1,0,2,2,6,3,2,3,3,1,5,4,8,2,4,2,0,3,4,3,2,6,1,1,5,2,4,1,1,5,1,0,0,25,5,6,5,1,3,1,0,0,3,5,2,5,3,3,1,6,1,3,1,1,1,1,4,0,6,2,1,0,5,2,2,2,0,2,2,1,30,5,3,1,7,1,0,0,3,0,22,3,2
스파크,0,1,0,4,0,1,0,0,0,0,2,1,0,1,1,0,3,0,3,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3,0,0,0,5,3,2,2,0,0,0,0,0,0,2,0,0,1,1,0,2,0,2,0,1,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,5,2,0,0,1,0,0,0,0,0,3,0,0
연결,5,1,1,5,1,1,0,0,0,0,3,1,0,1,1,1,2,0,5,2,1,0,0,0,1,1,1,2,0,2,1,1,0,1,1,2,1,2,1,6,2,9,2,2,1,0,0,0,4,2,1,0,3,1,2,2,0,1,1,1,1,0,1,0,2,0,0,0,4,0,1,1,0,1,0,0,10,2,0,1,2,1,1,0,2,0,10,0,5
연기,0,0,0,4,0,1,0,0,0,0,2,0,0,0,0,0,2,1,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,5,2,2,4,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,2,0,7,2,0,0,1,0,0,0,0,2,3,0,0
옷_,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,2,0,2,2,0,1,1,1,0,0,0,0,0,0,0,1,0,2,0,4,0,1,0,0,1,1,1,1,2,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,1,0,1,9,0,1,0,1,0,0,0,0,0,5,0,1
요양,2,6,2,0,2,1,3,1,0,0,1,6,0,6,6,2,0,0,0,0,9,4,1,3,0,0,1,12,0,0,9,4,1,1,1,0,0,0,1,3,0,1,0,0,8,0,0,0,4,0,2,0,6,0,0,0,3,7,2,2,2,0,0,1,0,1,0,1,0,0,6,4,0,2,0,0,2,0,1,3,4,0,0,3,2,0,8,0,0
용접,0,4,1,0,0,0,3,0,0,0,1,4,0,4,4,0,0,1,1,0,4,0,3,0,2,3,4,8,0,2,1,1,2,0,2,0,0,0,0,1,0,0,0,1,0,17,3,3,0,0,1,1,4,2,0,1,0,4,0,0,0,2,0,0,0,3,0,2,0,0,0,0,0,1,0,0,14,0,3,0,0,0,0,4,0,0,23,4,0
응급실,0,0,0,0,0,0,0,1,4,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,1,0,0,0,2,1,1,0,0,3,0,0,0,0,0,0,0,3,8,3,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,5,0,0,0,0,2,0,0,2,11,0,2,0,0,0,0,0,2,0,11,3,0
응급처치,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3,3,4,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,1,6,0,1,0,0,0,0,1,1,0,7,1,0
의거,5,4,3,0,3,0,1,1,0,1,2,4,1,4,4,3,0,0,0,1,5,0,1,1,0,0,1,8,0,0,3,5,1,2,2,0,0,0,1,3,0,4,0,1,4,0,0,0,8,0,3,0,5,0,1,0,1,5,3,3,3,0,1,1,0,0,0,1,1,0,5,3,0,3,0,0,2,0,0,3,0,0,0,1,5,0,7,1,2
의료,0,3,1,4,1,2,2,0,0,0,2,3,0,3,3,1,2,1,5,0,3,5,2,0,0,1,2,6,2,0,3,2,0,8,0,2,2,0,2,5,2,2,2,1,0,0,0,1,0,9,0,1,3,1,0,2,2,5,3,0,1,0,3,2,2,0,2,0,2,1,7,0,1,0,0,1,9,2,1,4,1,0,0,0,0,0,11,0,0
이내,2,3,2,0,1,0,1,0,0,0,1,3,0,3,3,1,0,0,0,0,4,0,1,1,2,0,3,6,0,1,3,3,0,1,1,0,0,0,1,2,0,1,0,1,2,1,0,0,3,0,3,1,3,0,0,0,1,4,2,1,1,0,0,1,0,2,0,0,0,0,2,1,0,2,0,0,5,0,1,1,0,0,0,0,2,0,5,0,0
작업복,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,5,2,0,1,0,0,0,4,0,4,2,0,1,1,1,2,0,0,0,0,0,0,5,0,0,0,1,0,1,0,1,0,1,1,6,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,2,0,11,0,2,0,2,0,0,0,0,0,8,0,0
장소,3,11,5,0,3,1,4,1,0,1,1,11,0,11,11,3,1,0,0,1,13,5,3,2,2,0,3,22,2,1,9,6,1,5,2,1,1,0,2,3,1,3,0,2,6,4,0,0,5,3,3,1,12,0,1,0,3,14,4,4,3,0,1,3,0,3,1,1,1,0,9,3,0,3,0,0,10,0,2,5,2,0,0,5,2,0,20,2,1
전문,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,1,1,0,0,2,1,1,0,1,0,0,0,3,0,2,0,0,0,0,0,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,6,1,1,0,1,0,0,1,0,0,6,1,0
전신,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,4,1,2
제거,0,0,0,4,0,1,0,0,1,0,3,0,0,0,0,0,2,1,4,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,6,2,2,2,0,0,1,0,1,0,2,0,0,0,2,1,5,0,0,0,0,0,2,1,0,3,0,0,0,2,0,0,0,0,0,0,0,8,3,0,0,1,1,0,1,0,0,7,0,0
제출,0,3,0,0,0,0,3,0,0,0,0,3,0,3,3,0,0,0,0,0,5,4,2,2,0,0,1,6,1,0,5,2,0,4,0,0,1,0,2,1,0,0,0,0,3,0,0,0,1,2,1,0,3,0,0,0,3,5,2,0,0,0,1,2,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,5,0,0
조사,2,14,5,0,3,1,6,1,0,1,1,14,0,14,14,3,2,0,0,0,17,7,5,3,2,0,4,28,3,1,11,8,1,9,2,2,2,0,4,3,2,1,0,1,7,4,0,0,5,5,4,1,14,0,0,0,5,20,6,5,3,0,2,5,0,3,2,1,0,0,13,3,0,3,0,0,9,0,2,7,2,0,0,5,2,0,22,2,0
조사표,2,4,2,0,2,0,2,0,0,0,1,4,0,4,4,2,0,0,0,0,5,3,2,1,0,0,1,8,1,0,4,3,0,5,1,0,1,0,2,1,0,1,0,0,2,0,0,0,3,3,2,0,4,0,0,0,2,6,4,1,2,0,1,2,0,0,1,0,0,0,6,1,0,1,0,0,1,0,0,3,0,0,0,0,2,0,6,0,0
조치,2,4,3,0,2,0,0,2,1,1,1,6,0,4,4,2,1,0,0,0,4,0,0,0,0,1,0,8,2,0,1,3,0,2,2,1,0,1,0,1,1,1,0,0,2,0,1,0,3,0,1,0,4,0,0,0,0,5,1,5,2,0,0,1,0,0,1,1,0,0,3,2,0,2,0,0,3,0,0,2,0,0,0,2,2,0,5,1,0
종결,2,3,3,0,3,0,0,1,0,0,1,3,0,3,3,3,0,0,0,0,3,1,0,0,0,0,0,6,0,0,2,3,0,1,1,0,0,0,0,1,0,1,0,0,2,0,0,0,3,1,1,0,3,0,0,0,0,3,2,2,3,0,0,0,0,0,0,1,0,0,4,2,0,2,0,0,1,0,0,2,0,0,0,1,2,0,3,0,0
준비,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,2,0,2,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1,0,1,0,0,5,1,0
중구,0,1,0,2,0,0,1,0,0,1,1,1,1,1,1,0,1,0,2,0,1,2,1,0,0,0,0,2,1,0,1,1,1,4,0,1,1,0,1,4,1,1,1,0,0,0,0,0,1,3,0,0,1,1,0,1,1,2,1,0,0,0,3,1,1,0,1,0,1,0,3,0,0,0,0,0,4,1,0,2,1,0,0,0,1,0,6,1,1
지침,0,3,1,0,0,0,2,0,0,1,0,3,0,3,3,0,0,0,0,0,4,2,2,1,0,0,1,6,2,0,2,2,0,4,1,0,1,0,2,0,0,0,0,0,1,0,0,0,1,2,1,0,3,0,0,0,2,5,2,1,0,0,1,3,0,0,1,0,0,0,4,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,5,1,0
지하,0,0,0,4,0,1,0,0,1,0,2,0,0,0,0,0,2,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,6,2,2,2,0,0,0,0,0,0,2,0,0,0,1,0,3,0,0,0,0,0,1,1,0,3,0,0,0,2,0,0,0,0,0,0,0,6,2,0,0,1,1,0,0,0,0,4,0,0
진단,0,3,2,0,0,1,0,0,0,0,0,3,0,3,3,0,0,0,0,0,3,0,0,0,4,1,4,6,0,2,3,2,1,0,0,0,0,0,0,2,0,0,0,2,1,3,1,0,0,0,2,2,3,1,0,0,0,3,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,2,0,0,14,0,4,1,0,0,0,2,0,0,11,1,0
진압,0,1,0,0,0,0,1,1,2,1,0,3,1,1,1,0,0,0,0,1,1,2,1,1,0,2,0,2,2,0,1,1,1,5,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,1,2,1,1,0,0,1,1,0,0,4,0,0,1,3,0,1,0,0,1,7,0,1,2,0,0,0,0,0,1,6,2,0
진화,0,1,1,0,1,0,0,1,2,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,3,1,2,1,0,0,2,1,0,1,0,2,3,0,0,0,0,0,0,1,2,5,3,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,7,0,0,2,1,0,1,0,2,7,1,0,1,0,0,1,1,2,0,6,2,0
찌꺼기,1,0,0,4,0,1,0,0,0,0,2,0,0,0,0,0,2,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,5,2,4,2,1,0,0,0,0,1,2,0,0,1,1,1,2,0,0,0,0,0,0,1,0,2,0,0,0,3,0,0,0,0,0,0,0,6,2,0,0,1,0,0,0,0,0,5,0,1
차량,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,2,2,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,7,0,3,0,0,0,0,0,0,0,3,2,1
처리,2,9,4,0,4,0,5,2,0,0,1,9,0,9,9,4,0,0,0,0,11,9,4,2,0,0,1,18,3,0,9,9,0,13,1,0,3,0,4,2,0,1,0,0,6,0,0,0,5,7,2,0,9,0,0,0,5,13,6,3,4,0,3,4,0,0,3,2,0,0,17,4,0,3,0,0,1,0,0,9,2,0,0,2,2,0,15,0,0
처분,2,3,2,0,2,0,1,1,0,0,1,3,0,3,3,2,0,0,0,0,4,2,0,1,0,0,0,6,0,0,4,3,0,1,1,0,0,0,0,2,0,1,0,0,4,0,0,0,3,0,1,0,3,0,0,0,1,3,1,2,2,0,0,0,0,0,0,1,0,0,4,3,0,2,0,0,0,0,0,2,2,0,0,1,2,0,3,0,0
초기,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,1,9,0,2,0,0,0,0,0,0,1,4,1,0
최근,2,3,3,0,2,0,0,1,0,0,1,3,0,3,3,2,0,0,0,0,3,0,0,0,2,0,2,6,0,1,2,4,0,1,1,0,0,0,0,2,0,1,0,1,2,1,0,0,3,0,2,1,3,0,0,0,0,3,1,2,2,0,0,0,0,2,0,1,0,0,3,2,0,3,0,0,5,0,1,2,0,0,0,1,2,0,5,0,0
